
print_multiple_paths
start room: Sjx1
room: Fmi5 room->path:0x7ff26a5d38e0 child_room:Elg0 level:1				total_steps_of_path:75 min_ants:283
room: Elg0 room->path:0x7ff26b009030 child_room:Wkp6 level:2				total_steps_of_path:0 min_ants:0
room: Wkp6 room->path:0x7ff26a5eef50 child_room:Wgi0 level:3				total_steps_of_path:0 min_ants:0
room: Wgi0 room->path:0x7ff26a5cfab0 child_room:Jpg4 level:4				total_steps_of_path:0 min_ants:0
room: Jpg4 room->path:0x7ff26a5da550 child_room:Wst4 level:5				total_steps_of_path:0 min_ants:0
room: Wst4 room->path:0x7ff26a5cd620 child_room:Hbu3 level:6				total_steps_of_path:0 min_ants:0
room: Hbu3 room->path:0x7ff26a5f8a50 child_room:Hxj5 level:7				total_steps_of_path:0 min_ants:0
room: Hxj5 room->path:0x7ff26b004120 child_room:C_u5 level:8				total_steps_of_path:0 min_ants:0
room: C_u5 room->path:0x7ff26a5cf060 child_room:Bg_0 level:9				total_steps_of_path:0 min_ants:0
room: Bg_0 room->path:0x7ff26a5e2480 child_room:S_p6 level:10				total_steps_of_path:0 min_ants:0
room: S_p6 room->path:0x7ff26a5dbc70 child_room:Sac5 level:11				total_steps_of_path:0 min_ants:0
room: Sac5 room->path:0x7ff26a5bf570 child_room:Ils1 level:12				total_steps_of_path:0 min_ants:0
room: Ils1 room->path:0x7ff26a5c66e0 child_room:Bgc8 level:13				total_steps_of_path:0 min_ants:0
room: Bgc8 room->path:0x7ff26a5c6f00 child_room:Wth5 level:14				total_steps_of_path:0 min_ants:0
room: Wth5 room->path:0x7ff26a5e8ab0 child_room:Myu2 level:15				total_steps_of_path:0 min_ants:0
room: Myu2 room->path:0x7ff26a5beb70 child_room:Dnh9 level:16				total_steps_of_path:0 min_ants:0
room: Dnh9 room->path:0x7ff26a5f3320 child_room:Stu9 level:17				total_steps_of_path:0 min_ants:0
room: Stu9 room->path:0x7ff26a5da0a0 child_room:Yvy9 level:18				total_steps_of_path:0 min_ants:0
room: Yvy9 room->path:0x7ff26a5d1040 child_room:Boz1 level:19				total_steps_of_path:0 min_ants:0
room: Boz1 room->path:0x7ff26b006740 child_room:Mbu0 level:20				total_steps_of_path:0 min_ants:0
room: Mbu0 room->path:0x7ff26a5ecb10 child_room:Npf6 level:21				total_steps_of_path:0 min_ants:0
room: Npf6 room->path:0x7ff26a5c5c90 child_room:Qlj3 level:22				total_steps_of_path:0 min_ants:0
room: Qlj3 room->path:0x7ff26b005390 child_room:Ozk8 level:23				total_steps_of_path:0 min_ants:0
room: Ozk8 room->path:0x7ff26a5d5a00 child_room:Ckd9 level:24				total_steps_of_path:0 min_ants:0
room: Ckd9 room->path:0x7ff26a5c7040 child_room:Nct4 level:25				total_steps_of_path:0 min_ants:0
room: Nct4 room->path:0x7ff26a5d8f70 child_room:Wel0 level:26				total_steps_of_path:0 min_ants:0
room: Wel0 room->path:0x7ff26a5c5790 child_room:Tej8 level:27				total_steps_of_path:0 min_ants:0
room: Tej8 room->path:0x7ff26a5c2130 child_room:J_z5 level:28				total_steps_of_path:0 min_ants:0
room: J_z5 room->path:0x7ff26a5e0db0 child_room:Ww_1 level:29				total_steps_of_path:0 min_ants:0
room: Ww_1 room->path:0x7ff26a5ebfd0 child_room:Gsi9 level:30				total_steps_of_path:0 min_ants:0
room: Gsi9 room->path:0x7ff26a5dd5c0 child_room:Cgy3 level:33				total_steps_of_path:0 min_ants:0
room: Cgy3 room->path:0x7ff26a5d9560 child_room:Tki2 level:34				total_steps_of_path:0 min_ants:0
room: Tki2 room->path:0x7ff26a5d95b0 child_room:Wa_1 level:35				total_steps_of_path:0 min_ants:0
room: Wa_1 room->path:0x7ff26a5d96a0 child_room:Wuq8 level:36				total_steps_of_path:0 min_ants:0
room: Wuq8 room->path:0x7ff26a5d96f0 child_room:Dkq2 level:37				total_steps_of_path:0 min_ants:0
